,subj_idx,cue,difficulty,correct,rt,STh_R_A_cue,STh_R_B_cue,STh_R_C_cue
0,14,neutral,hard,0,,3.40187540788,0.952908338417,3.45314597767
1,14,right,easy,0,720.0,2.49850998607,-0.134437687685,0.437532064707
2,14,left,easy,1,486.0,0.394805693117,-0.0298030638886,-1.59104184696
3,14,neutral,easy,0,689.0,-2.66823576702,-1.32302210932,-1.20621448761
4,14,neutral,easy,1,1339.0,-1.66088786899,-0.152457709623,-2.23032669152
5,14,neutral,hard,1,1312.0,-1.45977760905,-1.95547639801,-1.69054640745
6,14,neutral,easy,1,1429.0,-2.00414039485,-1.74660325808,-0.619438980376
7,14,left,easy,0,424.0,0.206725745992,-0.139487723296,0.60264278003
8,14,left,easy,1,923.0,1.07392051901,-0.665974607416,2.31596585984
9,14,neutral,easy,1,1092.0,0.521608417641,-0.567235339525,0.281274411429
10,14,neutral,hard,1,754.0,2.59512649271,-1.20500101615,-2.99536064055
11,14,neutral,hard,1,1009.0,0.120855698057,-2.23904386656,-1.96315413598
12,14,neutral,easy,1,806.0,1.5702720726,2.10446603541,-0.100205401953
13,14,neutral,hard,1,892.0,2.2151441224,0.854443703513,-0.268118429494
14,14,left,easy,1,476.0,1.88257497805,0.798930462337,3.02521909099
15,14,neutral,easy,1,976.0,0.0921283155739,-3.36583000633,-1.91263122361
16,14,left,hard,0,555.0,1.52693957842,0.408809335342,1.84187575727
17,14,neutral,hard,1,860.0,2.87144638554,-0.00466197776742,0.0183815758827
18,14,right,easy,1,794.0,0.126719742493,-0.449907208204,-0.590166914102
19,14,neutral,hard,1,908.0,0.271948994969,-1.97203435493,-0.118122935992
20,14,left,hard,1,921.0,-0.506960240129,-0.256176835446,0.60541209345
21,14,left,easy,1,945.0,-2.83683007434,-0.247315862104,-0.254144423241
22,14,right,hard,0,1021.0,-2.28190778707,1.90666177883,0.840212311426
23,14,neutral,hard,0,1038.0,-2.42159866824,-0.864884026053,-2.09044819146
24,14,neutral,easy,1,861.0,-0.475625952657,-0.114834116995,1.74354489808
25,14,neutral,hard,1,827.0,1.91768381111,-0.0646631101202,1.18790494405
26,14,right,hard,1,1143.0,2.41777699143,3.32626660834,0.892754429536
27,14,neutral,hard,1,909.0,-0.279318236872,0.247802812373,1.34213021487
28,14,neutral,easy,1,894.0,1.29968527932,1.55632020075,1.43868462079
29,14,neutral,hard,1,1038.0,-1.03530061734,-0.448364454368,-0.681646655883
30,14,neutral,hard,1,823.0,-2.65209511569,0.0540681499692,-0.410421050501
31,14,neutral,hard,1,971.0,-1.47965467001,-1.16518950795,-2.5092655477
32,14,right,easy,1,826.0,-1.14778333566,1.85773554899,-0.143081602802
33,14,neutral,hard,1,806.0,-2.59284119973,-0.380685710557,-1.10201609652
34,14,left,hard,0,1057.0,0.39450337776,-0.28537500799,-0.0955186362711
35,14,neutral,easy,1,794.0,3.08451831524,1.96885247526,1.36319782091
36,14,neutral,easy,1,892.0,1.21240887462,0.807320528642,0.98349542711
37,14,right,easy,1,675.0,-1.19112466498,-7.1455222732,-9.39421543278
38,14,neutral,easy,0,778.0,0.477391600776,0.348146380975,-1.71857273385
39,14,right,hard,1,704.0,-0.843493484106,-1.25032452386,-2.36337141575
40,14,neutral,easy,0,1275.0,-0.40135140745,-0.835844220983,-1.29937019911
